
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||','||'COLUMN_NAME'||','||'POSITION'||','||'R_OWN
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,DELETE_RULE

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION||','||CON.R_OWNER||','||RCON.TABLE_NAME||','||RCOL.COLUMN_NAME||','||NVL(CON.DELETE_RULE,'NOACTION')
APEX_030200,WWV_FLOW_PAGES_RESERVED,WWV_FLOW_PAGES_RESERVED_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_CACHE,WWV_FLOW_PAGE_CACHE_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_GENERIC_ATTR,WWV_FLOW_GENATTR_TO_REGION_FK,REGION_ID,1,APEX_030200,WWV_FLOW_PAGE_PLUGS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_GROUPS,SYS_C0019416,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_PLUGS,WWV_FLOW_PLUG_TO_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_PLUGS,WWV_FLOW_PLUG_TO_PAGE_FK,FLOW_ID,1,APEX_030200,WWV_FLOW_STEPS,FLOW_ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_PLUGS,WWV_FLOW_PLUG_TO_PAGE_FK,PAGE_ID,2,APEX_030200,WWV_FLOW_STEPS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_PLUG_TEMPLATES,WWV_FLOW_PLUG_TEMP_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PAGE_SUBMISSIONS,WWV_FLOW_PAGE_SUB_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_PASSWORD_HISTORY,WWV_FLOW_PWHIST_SGID_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_PASSWORD_HISTORY,WWV_FLOW_PWHIST_UID_FK,USER_ID,1,APEX_030200,WWV_FLOW_FND_USER,USER_ID,CASCADE
APEX_030200,WWV_FLOW_PATCHES,WWV_FLOW_PATCHES_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
