
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
ACTS,ROME_D_SYS_INV_SEQ,1,999999999999999999999999999,1,N,20,41
ACTS,SCRATCH_SEQ,1,999999999999999999999999999,1,N,20,381
ACTS,SITEINFO_SEQ,1,999999999999999999999999999,1,N,20,47
ACTS,SMACTUALPARAMETERSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMAGENTJOBSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMARCHIVESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMCONSOLESOSETTINGSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMDATABASESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMDBAUTHSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMDEFAUTHSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMDISTRIBUTIONSETSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMFOLDERSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMFORMALPARAMETERSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMGLOBALCONFIGURATIONSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMHOSTAUTHSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMHOSTSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMINSTALLATIONSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMLOGMESSAGESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMMONTHLYENTRYSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMMONTHWEEKENTRYSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMOMSTRINGSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPACKAGESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPARALLELJOBSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPARALLELOPERATIONSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPARALLELSTATEMENTSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPRODUCTATTRIBUTESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMPRODUCTSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMP_BRM_ID,1,9999,1,Y,20,1
ACTS,SMP_JOB_ID_,1,99999999,1,Y,20,1
ACTS,SMP_LONG_ID,1,999999999999999999999999999,1,N,20,1
ACTS,SMP_SERVICE_SEQ,1,999999999999999999999999999,1,N,20,16640
ACTS,SMRELEASESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMRUNSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMSCHEDULESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMSHAREDORACLECLIENTSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMSHAREDORACLECONFIGSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMTABLESPACESEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMTEMPORARYSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMVCENDPOINTSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,SMWEEKLYENTRYSEQUENCE,1,999999999999999999999999999,1,N,20,1
ACTS,TEST_TRANS_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,122081
AGGREGATE,AGG_ERROR_LOG_SEQ,1,999999999999999999999999999,1,N,0,189669949
AGGREGATE,AGG_USER_SEQ,1,999999999999999999999999999,1,N,0,20161
AGGREGATE,UPLOAD_SEQ,1,999999999999999999999999,1,N,0,12223
APEX_030200,WWV_FLOW_SESSION_SEQ,1,9999999999999999999999999999,1,N,20,1
APEX_030200,WWV_SEQ,1,9999999999999999999999999999,1,N,20,191074
APEX_220200,WWV_FLOW_SESSION_SEQ,1,9999999999999999999999999999,1,N,1000,99368
APEX_220200,WWV_SEQ,1,9999999999999999999999999999,1,N,2000,229816
CAMS_2LM,CAMS_AUDIT_SEQ,0,999999999999999999999999999,1,N,0,61849
CAMS_2LM,CAMS_INPUT_SEQ,1,9999999999999999999999999999,1,N,20,1024
CAMS_2LM,M_SEQ,1,999999999999999999999999999,1,N,0,1
CAMS_2LM,PARTS_DICT_SEQ,1,999999999999999999999999999,1,N,0,647
CAMS_2LM,PKG_SEQ,1,999999999999999999999999999,1,N,0,43099
CAMS_2LM,P_SEQ,1,999999999999999999999999999,1,N,0,1371
CAMS_2LM,USER_SEQ,1,999999999999999999999999999,1,N,20,21
CFUSER,AC_HIST_SEQ,1,999999999999999999999999999,1,N,0,1060
CFUSER,AM_ERROR_LOG_SEQ,1,999999999999999999999999999,1,N,0,472
CFUSER,AM_LASER_HIST_SEQ,1,999999999999999999999999999,1,N,0,25976
CFUSER,AM_LASER_SEQ,1,999999999999999999999999999,1,N,0,2905
CFUSER,AM_LASER_TYPE_SEQ,1,999999999999999999999999999,1,N,0,14
CFUSER,AM_LOC_SEQ,1,999999999999999999999999999,1,N,0,712
CFUSER,AM_POD_HIST_SEQ,1,999999999999999999999999999,1,N,0,48396
CFUSER,AM_POD_SEQ,1,999999999999999999999999999,1,N,0,1774
CFUSER,AM_SITE_LICENSE_SEQ,1,999999999999999999999999999,1,N,0,162
CFUSER,AM_SOURCE_HIST_SEQ,1,999999999999999999999999999,1,N,0,35471
CFUSER,AM_SOURCE_SEQ,1,999999999999999999999999999,1,N,0,6815
CFUSER,CF_USER_APPS_SEQ,1,999999999999999999999999999,1,N,0,633
CFUSER,EE_CREWMAN_SEQ,1,999999999999999999999999999,1,N,0,6545
CFUSER,EE_DOC_MAINT_SEQ,1,999999999999999999999999999,1,N,0,546561
CFUSER,EE_ERROR_LOG_SEQ,1,999999999999999999999999999,1,N,0,1
CFUSER,EE_EVENT_HIST_SEQ,1,999999999999999999999999999,1,N,0,1545839
CFUSER,EE_EVENT_SEQ,1,999999999999999999999999999,1,N,0,1339981
CFUSER,EE_EVENT_STATUS_SEQ,1,999999999999999999999999999,1,N,0,211189763
CFUSER,EE_LOCATIONS_SEQ,1,999999999999999999999999999,1,N,0,1
CFUSER,EE_MAINT_TYPE_LOC_SEQ,1,999999999999999999999999999,1,N,0,133
CFUSER,EE_PART_SEQ,1,999999999999999999999999999,1,N,0,319300
CFUSER,EE_SRU_ORDER_SEQ,1,999999999999999999999999999,1,N,0,13942
